Kategori_Lowongan,Pekerjaan Lowongan,Title,Posisi,Gaji,Gaji Min,Gaji Max,Kualifikasi,Tahun Pengalaman,Umur,Pendidikan,Skill,Link
Lainnya,Lainnya,Channel Account Manager,Channel Account Manager,Tidak dicantumkan,N/A,N/A,"Traditional Channel / Modern Channel / Online Channel accounts, and businesses in the networking category",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85026588
Lainnya,Lainnya,Account Manager (Jakarta) - ORAIMO,Account Manager (Jakarta) - ORAIMO,Tidak dicantumkan,N/A,N/A,-,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85026292
Lainnya,Lainnya,Host Live Streaming,Host Live Streaming,Tidak dicantumkan,N/A,N/A,"Sebagai Host Live Streamer. menjadi wajah utama brand saat live streaming. mampu komunikasi, kreativitas tinggi, serta paham akan tren media sosial. ",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85026017
Finance,Finance,Accounts & Finance Executive / Senior Accounts & Finance Executive,Accounts & Finance Executive / Senior Accounts & Finance Executive,"Rp 5,500,000 – Rp 8,000,000 per month",5500000,8000000,WE OFFER: Competitive salary & benefits Learning & development opportunity; Outstanding career advancement Recognition & acknowledgement...,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85026023
Sales,Sales,Sales Spare Part (Truk),Sales Spare Part (Truk),Tidak dicantumkan,N/A,N/A,"1. Gaji yang kompetitif
2. Insentif
3. Employee Gathering",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85026049
Public Relations,Public Relations,Public Relations Assistant Manager (Mandarin Speaker),Public Relations Assistant Manager (Mandarin Speaker),Rp 15.000.000 – Rp 20.000.000 per month,15000000,20000000,"1.Memiliki keterampilan penerjemahan yang kuat, bisa membina hubungan baik dengan departemen energi, pertambangan dan perindustrian. 2.S1 atau lebih.",N/A,N/A,S1,N/A,https://id.jobstreet.com/id/job/85090540
Sales,Sales,Sales Asisten Real Estate,Sales Asisten Real Estate,Rp4.000.000 – Rp4.500.000 per month,4000000,4500000,"Meningkatkan penjualan, membangun hubungan baik serta menyediakan layanan yang berkualitas kepada semua partnership & client.
",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/84942606
Sales,Sales,IT Presales Engineer,IT Presales Engineer,Tidak dicantumkan,N/A,N/A,"Jadi bagian dari perusahaan teknologi terkemuka di Indonesia, tawaran remunerasi kompetitif, dan lingkungan kerja yang dinamis.",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/84942750
Recruitment,Recruitment,Marine Senior Supervisor Fleet Gas & Petchem,Marine Senior Supervisor Fleet Gas & Petchem,Tidak dicantumkan,N/A,N/A,Dayalima Recruitment membuka peluang untuk Marine Sr Supervisor Fleet Gas & Petchem di perusahaan Shipping & Marine Logistic terkemuka di Indonesia.,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85090017
Consultant,Consultant,Bancassurance Consultant (Sumedang),Bancassurance Consultant (Sumedang),Rp 4.000.000 – Rp 6.000.000 per month,4000000,6000000,Deskripsi Pekerjaan : Menjalin dan menjaga hubungan bisnis yang baik dengan nasabah bank rekanan dalam memberikan konsultasi perencanaan.,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/84811191
Sales,Sales,Sales Manager,Sales Manager,"Rp 8,000,000 – Rp 10,000,000 per month",8000000,10000000,"As Marketing Manager, you will be act as the bridge to various fragrance brand suppliers across the world. This position will be reporting to GM...",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/84404239
Lainnya,Lainnya,Affiliate / KOL Specialist,Affiliate / KOL Specialist,Tidak dicantumkan,N/A,N/A,"Kami mencari Affiliate/KOL Specialist yang komunikatif, suka tantangan, inisiatif, peka tren media sosial. Tunjukkan potensimu, gabung bersama kami!",N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/84957445
Guru,Guru,Guru Bahasa Jepang (Karawang),Guru Bahasa Jepang (Karawang),Tidak dicantumkan,N/A,N/A,Bentuk generasi masa depan! Bergabunglah sebagai Guru Bahasa Jepang dan hidupkan proses belajar bahasa dengan cara yang menyenangkan.,N/A,N/A,N/A,N/A,https://id.jobstreet.com/id/job/85012775
